10 10
0 0 20
0 1 20
0 2 20
0 3 20
0 4 20
0 5 20
0 6 16
0 7 16
0 8 16
0 9 16
1 0 20
1 1 20
1 2 20
1 3 20
1 4 20
1 5 20
1 6 16
1 7 16
1 8 16
1 9 16
2 0 20
2 1 20
2 2 20
2 3 20
2 4 20
2 5 20
2 6 16
2 7 16
2 8 16
2 9 16
3 0 20
3 1 20
3 2 20
3 3 20
3 4 20
3 5 20
3 6 16
3 7 16
3 8 16
3 9 16
4 0 16
4 1 16
4 2 16
4 3 16
4 4 16
4 5 16
4 6 16
4 7 16
4 8 16
4 9 16
5 0 16
5 1 16
5 2 16
5 3 16
5 4 16
5 5 16
5 6 16
5 7 16
5 8 16
5 9 16
6 0 16
6 1 16
6 2 16
6 3 16
6 4 16
6 5 16
6 6 16
6 7 16
6 8 16
6 9 16
7 0 16
7 1 16
7 2 16
7 3 16
7 4 16
7 5 16
7 6 16
7 7 16
7 8 16
7 9 16
8 0 16
8 1 16
8 2 16
8 3 16
8 4 16
8 5 16
8 6 16
8 7 16
8 8 16
8 9 16
9 0 16
9 1 16
9 2 16
9 3 16
9 4 16
9 5 16
9 6 16
9 7 16
9 8 16
9 9 16
